Schlüssel-nummer;state;bezirk;Kreis / Landkreise;Kreisfreie Stadt;NUTS3;area;population;male;female;density
9161;Bayern;Oberbayern;Kreisfreie Stadt;Ingolstadt;DE211;133,35;   138 016;   69 858;   68 158;   1 035
9162;Bayern;Oberbayern;Kreisfreie Stadt;München, Landeshauptstadt;DE212;310,7;  1 487 708;   725 594;   762 114;   4 788
9163;Bayern;Oberbayern;Kreisfreie Stadt;Rosenheim;DE213;37,22;   63 508;   31 438;   32 070;   1 706
9171;Bayern;Oberbayern;Landkreis;Altötting;DE214;569,28;   112 116;   55 429;   56 687;197
9172;Bayern;Oberbayern;Landkreis;Berchtesgadener Land;DE215;839,82;   106 389;   52 425;   53 964;127
9173;Bayern;Oberbayern;Landkreis;Bad Tölz-Wolfratshausen;DE216;   1 110,67;   127 919;   63 112;   64 807;115
9174;Bayern;Oberbayern;Landkreis;Dachau;DE217;579,16;   155 449;   77 545;   77 904;268
9175;Bayern;Oberbayern;Landkreis;Ebersberg;DE218;549,39;   144 562;   72 179;   72 383;263
9176;Bayern;Oberbayern;Landkreis;Eichstätt;DE219;   1 213,85;   133 634;   67 599;   66 035;110
9177;Bayern;Oberbayern;Landkreis;Erding;DE21A;870,74;   139 622;   70 223;   69 399;160
9178;Bayern;Oberbayern;Landkreis;Freising;DE21B;799,85;   181 144;   92 520;   88 624;226
9179;Bayern;Oberbayern;Landkreis;Fürstenfeldbruck;DE21C;434,8;   218 579;   107 330;   111 249;503
9180;Bayern;Oberbayern;Landkreis;Garmisch-Partenkirchen;DE21D;   1 012,17;   88 232;   42 733;   45 499;87
9181;Bayern;Oberbayern;Landkreis;Landsberg am Lech;DE21E;804,36;   121 466;   60 572;   60 894;151
9182;Bayern;Oberbayern;Landkreis;Miesbach;DE21F;866,21;   99 978;   48 892;   51 086;115
9183;Bayern;Oberbayern;Landkreis;Mühldorf a.Inn;DE21G;805,33;   117 606;   59 484;   58 122;146
9184;Bayern;Oberbayern;Landkreis;München;DE21H;664,25;   349 837;   173 610;   176 227;527
9185;Bayern;Oberbayern;Landkreis;Neuburg-Schrobenhausen;DE21I;739,71;   98 503;   49 541;   48 962;133
9186;Bayern;Oberbayern;Landkreis;Pfaffenhofen a.d.Ilm;DE21J;761,05;   129 772;   65 711;   64 061;171
9187;Bayern;Oberbayern;Landkreis;Rosenheim;DE21K;   1 439,44;   263 367;   130 304;   133 063;183
